# tracer: nop
#
# entries-in-buffer/entries-written: 30743/14866026   #P:28
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
   systemd-udevd-365   [019] ....    13.863817: tcp_packet: Some ptrs: init net ffffffff82319c80(2319), vmemmap ffffea0000000000 (0)
     ksoftirqd/5-38    [005] ..s.   734.236098: mlx5e_skb_from_cqe_linear: a9eb303773) data ffff889fa8da4800 shinfo ffff889fa8da4e40[ffffea007ea36900]
     ksoftirqd/5-38    [005] ..s.   734.236098: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa8da4e40[ffffea007ea36900]
     ksoftirqd/5-38    [005] ..s.   734.236098: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236099: mlx5e_skb_from_cqe_linear: a9eb303ae7) data ffff889fa8da5000 shinfo ffff889fa8da5640[ffffea007ea36940]
     ksoftirqd/5-38    [005] ..s.   734.236099: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236099: mlx5e_skb_from_cqe_linear: a9eb303d31) data ffff889fa8da5800 shinfo ffff889fa8da5e40[ffffea007ea36940]
     ksoftirqd/5-38    [005] ..s.   734.236100: skb_gro_receive: pinfo = ffff889fa8da5640[ffffea007ea36940] skbinfo ffff889fa8da5e40[ffffea007ea36940]
     ksoftirqd/5-38    [005] ..s.   734.236100: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236100: mlx5e_skb_from_cqe_linear: a9eb3040bf) data ffff889fa8da6000 shinfo ffff889fa8da6640[ffffea007ea36980]
     ksoftirqd/5-38    [005] ..s.   734.236101: skb_gro_receive: pinfo = ffff889fa8da5640[ffffea007ea36940] skbinfo ffff889fa8da6640[ffffea007ea36980]
     ksoftirqd/5-38    [005] ..s.   734.236101: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236101: mlx5e_skb_from_cqe_linear: a9eb30445c) data ffff889fa8da6800 shinfo ffff889fa8da6e40[ffffea007ea36980]
     ksoftirqd/5-38    [005] ..s.   734.236102: skb_gro_receive: pinfo = ffff889fa8da5640[ffffea007ea36940] skbinfo ffff889fa8da6e40[ffffea007ea36980]
     ksoftirqd/5-38    [005] ..s.   734.236102: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236102: mlx5e_skb_from_cqe_linear: a9eb30486b) data ffff889fa8da7000 shinfo ffff889fa8da7640[ffffea007ea369c0]
     ksoftirqd/5-38    [005] ..s.   734.236103: skb_gro_receive: pinfo = ffff889fa8da5640[ffffea007ea36940] skbinfo ffff889fa8da7640[ffffea007ea369c0]
     ksoftirqd/5-38    [005] ..s.   734.236103: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236103: mlx5e_skb_from_cqe_linear: a9eb304bf9) data ffff889fa8da7800 shinfo ffff889fa8da7e40[ffffea007ea369c0]
     ksoftirqd/5-38    [005] ..s.   734.236103: skb_gro_receive: pinfo = ffff889fa8da5640[ffffea007ea36940] skbinfo ffff889fa8da7e40[ffffea007ea369c0]
     ksoftirqd/5-38    [005] ..s.   734.236104: dev_gro_receive: same flow... 
